Site,month,Tons
BU #64 - 518 Park,12,8
BU #65 - 519 Beacon,1,6
BU #65 - 519 Beacon,2,7
BU #65 - 519 Beacon,3,9
BU #65 - 519 Beacon,4,9
BU #65 - 519 Beacon,5,8
BU #65 - 519 Beacon,6,6
BU #65 - 519 Beacon,7,3
BU #65 - 519 Beacon,8,7
BU #65 - 519 Beacon,9,8
BU #65 - 519 Beacon,10,7
BU #65 - 519 Beacon,11,9
BU #65 - 519 Beacon,12,8
BU #67 - Kenmore Classroom,1,6
BU #67 - Kenmore Classroom,2,7
BU #67 - Kenmore Classroom,3,9
BU #67 - Kenmore Classroom,4,9
BU #67 - Kenmore Classroom,5,8
BU #67 - Kenmore Classroom,6,7
BU #67 - Kenmore Classroom,7,1
BU #67 - Kenmore Classroom,8,7
BU #67 - Kenmore Classroom,9,8
BU #67 - Kenmore Classroom,10,7
BU #67 - Kenmore Classroom,11,9
BU #67 - Kenmore Classroom,12,8
BU #68 - Howard Johnson (Hojo),1,6
BU #68 - Howard Johnson (Hojo),2,7
BU #68 - Howard Johnson (Hojo),3,9
BU #68 - Howard Johnson (Hojo),4,9
BU #68 - Howard Johnson (Hojo),5,8
BU #68 - Howard Johnson (Hojo),6,7
BU #68 - Howard Johnson (Hojo),7,2
BU #68 - Howard Johnson (Hojo),8,7
BU #68 - Howard Johnson (Hojo),9,8
BU #68 - Howard Johnson (Hojo),10,7
BU #68 - Howard Johnson (Hojo),11,9
BU #68 - Howard Johnson (Hojo),12,8
BU #69 - Graduate Apartments,1,8
BU #69 - Graduate Apartments,2,9
BU #69 - Graduate Apartments,3,11
BU #69 - Graduate Apartments,4,11
BU #69 - Graduate Apartments,5,10
BU #69 - Graduate Apartments,6,8
BU #69 - Graduate Apartments,7,4
BU #69 - Graduate Apartments,8,5
BU #69 - Graduate Apartments,9,9
BU #69 - Graduate Apartments,10,9
BU #69 - Graduate Apartments,11,9
BU #69 - Graduate Apartments,12,9
BU #7 - 1019 Comm Ave,1,6
BU #7 - 1019 Comm Ave,2,8
BU #7 - 1019 Comm Ave,3,9
BU #7 - 1019 Comm Ave,4,8
BU #7 - 1019 Comm Ave,5,9
BU #7 - 1019 Comm Ave,6,6
BU #7 - 1019 Comm Ave,9,8
BU #7 - 1019 Comm Ave,10,8
BU #7 - 1019 Comm Ave,11,8
BU #7 - 1019 Comm Ave,12,8
BU #70 - 59 Bay State,1,10
BU #70 - 59 Bay State,2,7
BU #70 - 59 Bay State,3,9
BU #70 - 59 Bay State,4,9
BU #70 - 59 Bay State,5,8
BU #70 - 59 Bay State,6,9
BU #70 - 59 Bay State,8,1
BU #70 - 59 Bay State,9,21
BU #70 - 59 Bay State,10,22
BU #70 - 59 Bay State,11,30
BU #70 - 59 Bay State,12,20
BU #71 - Metcalf Science,1,6
BU #71 - Metcalf Science,2,7
BU #71 - Metcalf Science,3,9
BU #71 - Metcalf Science,4,9
BU #71 - Metcalf Science,5,8
BU #71 - Metcalf Science,6,7
BU #71 - Metcalf Science,8,6
BU #71 - Metcalf Science,9,5
BU #71 - Metcalf Science,10,7
BU #71 - Metcalf Science,11,9
BU #71 - Metcalf Science,12,9
BU #72 - Rafik B Hariri,1,15
BU #72 - Rafik B Hariri,2,20
BU #72 - Rafik B Hariri,3,20
BU #72 - Rafik B Hariri,4,22
BU #72 - Rafik B Hariri,5,20
BU #72 - Rafik B Hariri,6,19
BU #72 - Rafik B Hariri,7,4
BU #72 - Rafik B Hariri,8,13
BU #72 - Rafik B Hariri,9,16
BU #72 - Rafik B Hariri,10,18
BU #72 - Rafik B Hariri,11,19
BU #72 - Rafik B Hariri,12,17
BU #73 - Kilachand Center,1,4
BU #73 - Kilachand Center,2,3
BU #73 - Kilachand Center,3,4
BU #73 - Kilachand Center,4,5
BU #73 - Kilachand Center,5,4
BU #73 - Kilachand Center,6,7
BU #73 - Kilachand Center,7,3
BU #73 - Kilachand Center,8,8
BU #73 - Kilachand Center,9,8
BU #73 - Kilachand Center,10,7
BU #73 - Kilachand Center,11,9
BU #73 - Kilachand Center,12,5
BU #74 - School of Education Annex,1,6
BU #74 - School of Education Annex,2,7
BU #74 - School of Education Annex,3,9
BU #74 - School of Education Annex,4,9
BU #74 - School of Education Annex,5,8
BU #74 - School of Education Annex,6,7
BU #74 - School of Education Annex,7,5
BU #74 - School of Education Annex,8,5
BU #74 - School of Education Annex,9,8
BU #74 - School of Education Annex,10,7
BU #74 - School of Education Annex,11,9
BU #74 - School of Education Annex,12,8
BU #75 - College of Health,1,32
BU #75 - College of Health,2,38
BU #75 - College of Health,3,44
BU #75 - College of Health,4,41
BU #75 - College of Health,5,31
BU #75 - College of Health,6,34
BU #75 - College of Health,7,6
BU #75 - College of Health,8,12
BU #75 - College of Health,9,29
BU #75 - College of Health,10,43
BU #75 - College of Health,11,38
BU #75 - College of Health,12,31
BU #76 - College of Communication,1,6
BU #76 - College of Communication,2,7
BU #76 - College of Communication,3,9
BU #76 - College of Communication,4,9
BU #76 - College of Communication,5,8
BU #76 - College of Communication,6,7
BU #76 - College of Communication,7,2
BU #76 - College of Communication,8,8
BU #76 - College of Communication,9,8
BU #76 - College of Communication,10,7
BU #76 - College of Communication,11,9
BU #76 - College of Communication,12,8
BU #77 - 64-68 Cummington,1,6
BU #77 - 64-68 Cummington,2,7
BU #77 - 64-68 Cummington,3,9
BU #77 - 64-68 Cummington,4,9
BU #77 - 64-68 Cummington,5,8
BU #77 - 64-68 Cummington,6,6
BU #77 - 64-68 Cummington,9,4
BU #77 - 64-68 Cummington,10,7
BU #77 - 64-68 Cummington,11,9
BU #77 - 64-68 Cummington,12,8
BU #78 - 660 Beacon,1,20
BU #78 - 660 Beacon,2,26
BU #78 - 660 Beacon,3,27
BU #78 - 660 Beacon,4,25
BU #78 - 660 Beacon,5,25
BU #78 - 660 Beacon,6,28
BU #78 - 660 Beacon,8,5
BU #78 - 660 Beacon,9,19
BU #78 - 660 Beacon,10,33
BU #78 - 660 Beacon,11,30
BU #78 - 660 Beacon,12,22
BU #79 - Stone Science Building,1,6
BU #79 - Stone Science Building,2,7
BU #79 - Stone Science Building,3,9
BU #79 - Stone Science Building,4,9
BU #79 - Stone Science Building,5,8
BU #79 - Stone Science Building,6,7
BU #79 - Stone Science Building,7,4
BU #79 - Stone Science Building,8,9
BU #79 - Stone Science Building,9,8
BU #79 - Stone Science Building,10,7
BU #79 - Stone Science Building,11,9
BU #79 - Stone Science Building,12,8
BU #8 - 1053 Beacon,1,4
BU #8 - 1053 Beacon,2,4
BU #8 - 1053 Beacon,3,5
BU #8 - 1053 Beacon,4,4
BU #8 - 1053 Beacon,5,5
BU #8 - 1053 Beacon,6,5
BU #8 - 1053 Beacon,7,2
BU #8 - 1053 Beacon,8,8
BU #8 - 1053 Beacon,9,8
BU #8 - 1053 Beacon,10,8
BU #8 - 1053 Beacon,11,8
BU #8 - 1053 Beacon,12,5
BU #80 - 677 Beacon,1,6
BU #80 - 677 Beacon,2,7
BU #80 - 677 Beacon,3,9
BU #80 - 677 Beacon,4,9
BU #80 - 677 Beacon,5,8
BU #80 - 677 Beacon,6,6
BU #80 - 677 Beacon,7,1
BU #80 - 677 Beacon,8,7
BU #80 - 677 Beacon,9,8
BU #80 - 677 Beacon,10,7
BU #80 - 677 Beacon,11,9
BU #80 - 677 Beacon,12,8
BU #81 - College of Arts,1,7
BU #81 - College of Arts,2,11
BU #81 - College of Arts,3,10
BU #81 - College of Arts,4,10
BU #81 - College of Arts,5,8
BU #81 - College of Arts,6,7
BU #81 - College of Arts,9,5
BU #81 - College of Arts,10,8
BU #81 - College of Arts,11,10
BU #81 - College of Arts,12,8
BU #82 - Warren Towers,1,20
BU #82 - Warren Towers,2,26
BU #82 - Warren Towers,3,30
BU #82 - Warren Towers,4,30
BU #82 - Warren Towers,5,30
BU #82 - Warren Towers,6,21
BU #82 - Warren Towers,7,2
BU #82 - Warren Towers,9,23
BU #82 - Warren Towers,10,20
BU #82 - Warren Towers,11,28
BU #82 - Warren Towers,12,25
BU #83 - 704 Comm Ave,1,6
BU #83 - 704 Comm Ave,2,8
BU #83 - 704 Comm Ave,3,9
BU #83 - 704 Comm Ave,4,9
BU #83 - 704 Comm Ave,5,9
BU #83 - 704 Comm Ave,6,7
BU #83 - 704 Comm Ave,7,3
BU #83 - 704 Comm Ave,8,7
BU #83 - 704 Comm Ave,9,9
BU #83 - 704 Comm Ave,10,9
BU #83 - 704 Comm Ave,11,10
BU #83 - 704 Comm Ave,12,9
BU #84 - 712 Beacon,1,6
BU #84 - 712 Beacon,2,7
BU #84 - 712 Beacon,3,9
BU #84 - 712 Beacon,4,9
BU #84 - 712 Beacon,5,8
BU #84 - 712 Beacon,6,7
BU #84 - 712 Beacon,7,2
BU #84 - 712 Beacon,8,6
BU #84 - 712 Beacon,9,8
BU #84 - 712 Beacon,10,7
BU #84 - 712 Beacon,11,9
BU #84 - 712 Beacon,12,8
BU #85 - 718 Comm Ave,1,6
BU #85 - 718 Comm Ave,2,7
BU #85 - 718 Comm Ave,3,9
BU #85 - 718 Comm Ave,4,9
BU #85 - 718 Comm Ave,5,8
BU #85 - 718 Comm Ave,6,7
BU #85 - 718 Comm Ave,7,3
BU #85 - 718 Comm Ave,8,8
BU #85 - 718 Comm Ave,9,5
BU #85 - 718 Comm Ave,10,7
BU #85 - 718 Comm Ave,11,9
BU #85 - 718 Comm Ave,12,8
BU #86 - 722 Comm Ave,1,6
BU #86 - 722 Comm Ave,2,7
BU #86 - 722 Comm Ave,3,9
BU #86 - 722 Comm Ave,4,9
BU #86 - 722 Comm Ave,5,8
BU #86 - 722 Comm Ave,6,5
BU #86 - 722 Comm Ave,7,2
BU #86 - 722 Comm Ave,8,7
BU #86 - 722 Comm Ave,9,7
BU #86 - 722 Comm Ave,10,7
BU #86 - 722 Comm Ave,11,9
BU #86 - 722 Comm Ave,12,8
BU #87 - College of Engineering,1,7
BU #87 - College of Engineering,2,8
BU #87 - College of Engineering,3,11
BU #87 - College of Engineering,4,10
BU #87 - College of Engineering,5,9
BU #87 - College of Engineering,6,8
BU #87 - College of Engineering,7,1
BU #87 - College of Engineering,8,1
BU #87 - College of Engineering,9,8
BU #87 - College of Engineering,10,8
BU #87 - College of Engineering,11,10
BU #87 - College of Engineering,12,9
BU #87B- College of Engineering,1,6
BU #87B- College of Engineering,2,7
BU #87B- College of Engineering,3,9
BU #87B- College of Engineering,4,9
BU #87B- College of Engineering,5,8
BU #87B- College of Engineering,6,7
BU #87B- College of Engineering,7,3
BU #87B- College of Engineering,8,7
BU #87B- College of Engineering,10,7
BU #87B- College of Engineering,11,9
BU #87B- College of Engineering,12,8
BU #88 - Marsh Chapel,1,6
BU #88 - Marsh Chapel,2,7
BU #88 - Marsh Chapel,3,9
BU #88 - Marsh Chapel,4,9
BU #88 - Marsh Chapel,5,8
BU #88 - Marsh Chapel,6,7
BU #88 - Marsh Chapel,7,4
BU #88 - Marsh Chapel,8,6
BU #88 - Marsh Chapel,9,8
BU #88 - Marsh Chapel,10,7
BU #88 - Marsh Chapel,11,10
BU #88 - Marsh Chapel,12,8
BU #89 - Brownstones,1,6
BU #89 - Brownstones,2,7
BU #89 - Brownstones,3,9
BU #89 - Brownstones,4,9
BU #89 - Brownstones,5,8
BU #89 - Brownstones,6,9
BU #89 - Brownstones,7,3
BU #89 - Brownstones,8,7
BU #89 - Brownstones,9,8
BU #89 - Brownstones,10,7
BU #89 - Brownstones,11,9
BU #89 - Brownstones,12,8
BU #9 - College of Engineering,1,7
BU #9 - College of Engineering,2,7
BU #9 - College of Engineering,3,9
BU #9 - College of Engineering,4,9
BU #9 - College of Engineering,5,8
BU #9 - College of Engineering,6,5
BU #9 - College of Engineering,7,1
BU #9 - College of Engineering,8,5
BU #9 - College of Engineering,9,7
BU #9 - College of Engineering,10,7
BU #9 - College of Engineering,11,9
BU #9 - College of Engineering,12,8
BU #90 - School of Law,1,8
BU #90 - School of Law,2,14
BU #90 - School of Law,3,21
BU #90 - School of Law,4,17
BU #90 - School of Law,5,9
BU #90 - School of Law,6,8
BU #90 - School of Law,7,3
BU #90 - School of Law,8,7
BU #90 - School of Law,9,11
BU #90 - School of Law,10,8
BU #90 - School of Law,11,10
BU #90 - School of Law,12,9
BU #92 - Mugar Memorial Library,1,26
BU #92 - Mugar Memorial Library,2,29
BU #92 - Mugar Memorial Library,3,35
BU #92 - Mugar Memorial Library,4,35
BU #92 - Mugar Memorial Library,5,31
BU #92 - Mugar Memorial Library,6,29
BU #92 - Mugar Memorial Library,7,4
BU #92 - Mugar Memorial Library,8,8
BU #92 - Mugar Memorial Library,9,23
BU #92 - Mugar Memorial Library,10,34
BU #92 - Mugar Memorial Library,11,30
BU #92 - Mugar Memorial Library,12,27
BU #93 - George Sherman Union,1,18
BU #93 - George Sherman Union,2,24
BU #93 - George Sherman Union,3,26
BU #93 - George Sherman Union,4,26
BU #93 - George Sherman Union,5,23
BU #93 - George Sherman Union,6,20
BU #93 - George Sherman Union,7,5
BU #93 - George Sherman Union,8,9
BU #93 - George Sherman Union,9,21
BU #93 - George Sherman Union,10,25
BU #93 - George Sherman Union,11,26
BU #93 - George Sherman Union,12,21
BU #95 - 80 Ivy,1,6
BU #95 - 80 Ivy,2,8
BU #95 - 80 Ivy,3,9
BU #95 - 80 Ivy,4,8
BU #95 - 80 Ivy,5,10
BU #95 - 80 Ivy,6,5
BU #95 - 80 Ivy,7,4
BU #95 - 80 Ivy,8,8
BU #95 - 80 Ivy,9,8
BU #95 - 80 Ivy,10,8
BU #95 - 80 Ivy,11,8
BU #95 - 80 Ivy,12,8
BU #96 - 808 Comm Ave,1,17
BU #96 - 808 Comm Ave,2,18
BU #96 - 808 Comm Ave,3,23
BU #96 - 808 Comm Ave,4,24
BU #96 - 808 Comm Ave,5,17
BU #96 - 808 Comm Ave,6,7
BU #96 - 808 Comm Ave,7,5
BU #96 - 808 Comm Ave,8,9
BU #96 - 808 Comm Ave,9,20
BU #96 - 808 Comm Ave,10,21
BU #96 - 808 Comm Ave,11,20
BU #96 - 808 Comm Ave,12,19
BU #97 - 845 Beacon,1,8
BU #97 - 845 Beacon,2,8
BU #97 - 845 Beacon,3,9
BU #97 - 845 Beacon,4,8
BU #97 - 845 Beacon,5,9
BU #97 - 845 Beacon,6,8
BU #97 - 845 Beacon,7,3
BU #97 - 845 Beacon,8,7
BU #97 - 845 Beacon,9,8
BU #97 - 845 Beacon,10,8
BU #97 - 845 Beacon,11,8
BU #97 - 845 Beacon,12,9
BU #98 - 853 Beacon,1,8
BU #98 - 853 Beacon,2,8
BU #98 - 853 Beacon,3,9
BU #98 - 853 Beacon,4,8
BU #98 - 853 Beacon,5,9
BU #98 - 853 Beacon,6,8
BU #98 - 853 Beacon,10,7
BU #98 - 853 Beacon,11,8
BU #98 - 853 Beacon,12,9
BU #99 - College of Fine Arts,1,11
BU #99 - College of Fine Arts,2,12
BU #99 - College of Fine Arts,3,18
BU #99 - College of Fine Arts,4,18
BU #99 - College of Fine Arts,5,16
BU #99 - College of Fine Arts,6,10
BU #99 - College of Fine Arts,7,7
BU #99 - College of Fine Arts,8,6
BU #99 - College of Fine Arts,9,14
BU #99 - College of Fine Arts,10,14
BU #99 - College of Fine Arts,11,12
BU #99 - College of Fine Arts,12,12
BU COMPOST- 275 Babcock,1,12
BU COMPOST- 275 Babcock,2,50
BU COMPOST- 275 Babcock,3,62
BU COMPOST- 275 Babcock,4,58
BU COMPOST- 275 Babcock,8,8
BU COMPOST- 275 Babcock,9,28
BU COMPOST- 275 Babcock,10,30
BU COMPOST- 275 Babcock,11,26
BU COMPOST- 275 Babcock,12,24
BU COMPOST- 700 Comm AVE,1,16
BU COMPOST- 700 Comm AVE,2,26
BU COMPOST- 700 Comm AVE,3,31
BU COMPOST- 700 Comm AVE,4,29
BU COMPOST- 700 Comm AVE,8,16
BU COMPOST- 700 Comm AVE,9,28
BU COMPOST- 700 Comm AVE,10,30
BU COMPOST- 700 Comm AVE,11,26
BU COMPOST- 700 Comm AVE,12,22
BU COMPOST- 949 Comm Ave,1,28
BU COMPOST- 949 Comm Ave,2,26
BU COMPOST- 949 Comm Ave,3,31
BU COMPOST- 949 Comm Ave,4,30
BU COMPOST- 949 Comm Ave,8,26
BU COMPOST- 949 Comm Ave,9,28
BU COMPOST- 949 Comm Ave,10,30
BU COMPOST- 949 Comm Ave,11,29
BU COMPOST- 949 Comm Ave,12,27
BU Compost- 925 Comm Ave,1,6
BU Compost- 925 Comm Ave,2,6
BU Compost- 925 Comm Ave,3,4
BU Compost- 925 Comm Ave,4,6
BU Compost- 925 Comm Ave,10,10
BU Compost- 925 Comm Ave,11,5
BU Compost- 925 Comm Ave,12,7
BU MED - 609 Albany,1,17
BU MED - 609 Albany,2,18
BU MED - 609 Albany,3,22
BU MED - 609 Albany,4,22
BU MED - 609 Albany,5,21
BU MED - 609 Albany,6,18
BU MED - 609 Albany,9,16
BU MED - 609 Albany,10,19
BU MED - 609 Albany,11,20
BU MED - 609 Albany,12,19
BU MED- 15 Stoughton,1,22
BU MED- 15 Stoughton,2,22
BU MED- 15 Stoughton,3,26
BU MED- 15 Stoughton,4,27
BU MED- 15 Stoughton,5,25
BU MED- 15 Stoughton,6,25
BU MED- 15 Stoughton,7,5
BU MED- 15 Stoughton,8,4
BU MED- 15 Stoughton,9,21
BU MED- 15 Stoughton,10,25
BU MED- 15 Stoughton,11,27
BU MED- 15 Stoughton,12,23
BU MED- 635 Albany Street,1,17
BU MED- 635 Albany Street,2,18
BU MED- 635 Albany Street,3,22
BU MED- 635 Albany Street,4,22
BU MED- 635 Albany Street,5,21
BU MED- 635 Albany Street,6,17
BU MED- 635 Albany Street,9,16
BU MED- 635 Albany Street,10,19
BU MED- 635 Albany Street,11,20
BU MED- 635 Albany Street,12,19
BU MED- 700 Albany,1,17
BU MED- 700 Albany,2,16
BU MED- 700 Albany,3,20
BU MED- 700 Albany,4,21
BU MED- 700 Albany,5,18
BU MED- 700 Albany,6,23
BU MED- 700 Albany,7,1
BU MED- 700 Albany,8,2
BU MED- 700 Albany,9,17
BU MED- 700 Albany,10,22
BU MED- 700 Albany,11,21
BU MED- 700 Albany,12,17
BU MED- 715 Albany,1,17
BU MED- 715 Albany,2,18
BU MED- 715 Albany,3,22
BU MED- 715 Albany,4,22
BU MED- 715 Albany,5,21
BU MED- 715 Albany,6,20
BU MED- 715 Albany,9,16
BU MED- 715 Albany,10,19
BU MED- 715 Albany,11,20
BU MED- 715 Albany,12,19
BU MED- 715 Albany West,1,17
BU MED- 715 Albany West,2,18
BU MED- 715 Albany West,3,22
BU MED- 715 Albany West,4,22
BU MED- 715 Albany West,5,21
BU MED- 715 Albany West,6,21
BU MED- 715 Albany West,9,16
BU MED- 715 Albany West,10,18
BU MED- 715 Albany West,11,17
BU MED- 715 Albany West,12,19
BU MED- 815 Albany,1,26
BU MED- 815 Albany,2,26
BU MED- 815 Albany,3,32
BU MED- 815 Albany,4,30
BU MED- 815 Albany,5,22
BU MED- 815 Albany,6,20
BU MED- 815 Albany,7,5
BU MED- 815 Albany,8,19
BU MED- 815 Albany,9,30
BU MED- 815 Albany,10,36
BU MED- 815 Albany,11,30
BU MED- 815 Albany,12,28
BU SECURE- 25 Pilgrim,11,1
BU- 10 Buick TEMP,5,3
BU- 100 Bay State TEMP,5,3
BU- 100 Bay State TEMP,6,1
BU- 100 Bay State TEMP,9,1
BU- 14 Buswell TEMP,5,2
BU- 14 Buswell TEMP,6,2
BU- 14 Buswell TEMP,9,2
BU- 170 Bay State TEMP,5,6
BU- 170 Bay State TEMP,6,1
BU- 170 Bay State TEMP,8,2
BU- 170 Bay State TEMP,9,1
BU- 25 Pilgrim TEMP,5,2
BU- 25 Pilgrim TEMP,6,1
BU- 275 Babcock TEMP,5,5
BU- 275 Babcock TEMP,6,1
BU- 275 Babcock TEMP,8,1
BU- 275 Babcock TEMP,9,1
BU- 30 Bay State TEMP,5,2
BU- 30 Bay State TEMP,6,1
BU- 30 Bay State TEMP,8,1
BU- 30 Bay State TEMP,9,1
BU- 33 Harry Agganis TEMP,5,2
BU- 33 Harry Agganis TEMP,6,1
BU- 46 Mountfort TEMP,5,3
BU- 46 Mountfort TEMP,6,2
BU- 46 Mountfort TEMP,8,1
BU- 46 Mountfort TEMP,9,1
BU- 515 Park TEMP,5,5
BU- 515 Park TEMP,6,2
BU- 515 Park TEMP,8,1
BU- 515 Park TEMP,9,1
BU- 808 Commonwealth TEMP,8,1
BU- 808 Commonwealth TEMP,12,1
BU- 815 Albany TEMP,7,1
BU- 815 Albany TEMP,8,2
BU- Cummington Mall TEMP,5,17
BU- Cummington Mall TEMP,6,6
BU- Cummington Mall TEMP,8,4
BU- Cummington Mall TEMP,9,5
BU- Nickerson Event,5,3
