DATE,TAVG,TMAX,TMIN
2023-01-05,42.0,45.0,35.0
2023-01-06,35.0,36.0,33.0
2023-01-07,37.0,44.0,31.0
2023-01-08,32.0,38.0,25.0
2023-01-09,35.0,43.0,28.0
2023-01-10,37.0,42.0,28.0
2023-01-11,29.0,35.0,23.0
2023-01-12,34.0,49.0,30.0
2023-01-13,52.0,58.0,39.0
2023-01-14,37.0,39.0,33.0
2023-01-15,34.0,37.0,29.0
2023-01-16,31.0,34.0,30.0
2023-01-17,38.0,50.0,32.0
2023-01-18,45.0,52.0,40.0
2023-01-19,40.0,42.0,35.0
2023-01-20,35.0,38.0,31.0
2023-01-21,31.0,33.0,29.0
2023-01-22,31.0,37.0,28.0
2023-01-23,35.0,36.0,31.0
2023-01-24,34.0,39.0,30.0
2023-01-25,35.0,43.0,33.0
2023-01-26,45.0,55.0,35.0
2023-01-27,36.0,42.0,30.0
2023-01-28,39.0,50.0,30.0
2023-01-29,43.0,51.0,34.0
2023-01-30,44.0,46.0,36.0
2023-01-31,36.0,41.0,23.0
2023-02-01,26.0,30.0,21.0
2023-02-02,30.0,38.0,24.0
2023-02-03,25.0,33.0,-8.0
2023-02-04,0.0,18.0,-10.0
2023-02-05,30.0,51.0,18.0
2023-02-06,41.0,49.0,32.0
2023-02-07,31.0,34.0,24.0
2023-02-08,40.0,49.0,34.0
